sample	lineage_dataset	assessment_target	busco_mode	is_final_submission_genome	complete_percent	single_copy_percent	duplicated_percent	fragmented_percent	missing_percent	complete_count	single_copy_count	duplicated_count	fragmented_count	missing_count	busco_groups	e_percent	scaffold_count	contig_count	total_length_bp	percent_gaps	scaffold_N50	contig_N50	input_file	source_file
hifiasm_contig	embryophyta_odb10	draft_contig_assembly	euk_genome_min	no	99.7	94.7	5.0	0.0	0.3	1609	1528	81	0	5	1614	22.1	33	33	431106528	0.000%	19 Mbp	19 Mbp	/public/home/ryx13/genome_cad/hifiasm_ont/ont_filt_asm.bp.p_ctg.fa	/public/home/ryx13/genome_cad/busco/hifiasm_contig_embryophyta/short_summary.specific.embryophyta_odb10.hifiasm_contig_embryophyta.txt
hifiasm_contig	eudicots_odb10	draft_contig_assembly	euk_genome_min	no	99.6	92.0	7.5	0.0	0.4	2316	2141	175	0	10	2326	19.8	33	33	431106528	0.000%	19 Mbp	19 Mbp	/public/home/ryx13/genome_cad/hifiasm_ont/ont_filt_asm.bp.p_ctg.fa	/public/home/ryx13/genome_cad/busco/hifiasm_contig_eudicots/short_summary.specific.eudicots_odb10.hifiasm_contig_eudicots.txt
review_3ddna	embryophyta_odb10	3ddna_review_assembly	euk_genome_min	no	99.7	94.7	5.0	0.0	0.3	1609	1528	81	0	5	1614	22.1	31	39	431110528	0.001%	19 Mbp	19 Mbp	/public/home/ryx13/genome_cad/juicer/run_3ddna/review/ont_filt_asm.bp.p_ctg.FINAL.fasta	/public/home/ryx13/genome_cad/busco/review_3ddna_embryophyta/short_summary.specific.embryophyta_odb10.review_3ddna_embryophyta.txt
review_3ddna	eudicots_odb10	3ddna_review_assembly	euk_genome_min	no	99.5	92.0	7.5	0.0	0.5	2315	2140	175	0	11	2326	19.8	31	39	431110528	0.001%	19 Mbp	19 Mbp	/public/home/ryx13/genome_cad/juicer/run_3ddna/review/ont_filt_asm.bp.p_ctg.FINAL.fasta	/public/home/ryx13/genome_cad/busco/review_3ddna_eudicots/short_summary.specific.eudicots_odb10.review_3ddna_eudicots.txt
final_top21_chr	embryophyta_odb10	final_chromosome_assembly	euk_genome_min	yes	99.7	94.7	5.0	0.0	0.3	1609	1528	81	0	5	1614	22.1	21	25	414585425	0.000%	19 Mbp	19 Mbp	/public/home/ryx13/genome_cad/juicer/run_3ddna/review/Ont_filt_asm.bp.p_ctg.top21.chr.seqkit.fasta	/public/home/ryx13/genome_cad/busco/final_top21_chr_embryophyta/short_summary.specific.embryophyta_odb10.final_top21_chr_embryophyta.txt
final_top21_chr	eudicots_odb10	final_chromosome_assembly	euk_genome_min	yes	99.5	92.0	7.5	0.0	0.5	2315	2140	175	0	11	2326	19.8	21	25	414585425	0.000%	19 Mbp	19 Mbp	/public/home/ryx13/genome_cad/juicer/run_3ddna/review/Ont_filt_asm.bp.p_ctg.top21.chr.seqkit.fasta	/public/home/ryx13/genome_cad/busco/final_top21_chr_eudicots/short_summary.specific.eudicots_odb10.final_top21_chr_eudicots.txt
clean_protein	embryophyta_odb10	final_clean_annotation_proteins	proteins	yes	98.1	92.8	5.3	0.6	1.4	1582	1497	85	9	23	1614	NA	NA	NA	NA	NA	NA	NA	/public/home/ryx13/genome_cad/busco/inputs/Camptotheca_acuminata_T2T.protein.clean.no_stop.fasta	/public/home/ryx13/genome_cad/busco/clean_protein_embryophyta/short_summary.specific.embryophyta_odb10.clean_protein_embryophyta.txt
clean_protein	eudicots_odb10	final_clean_annotation_proteins	proteins	yes	97.8	90.1	7.7	0.6	1.6	2274	2096	178	14	38	2326	NA	NA	NA	NA	NA	NA	NA	/public/home/ryx13/genome_cad/busco/inputs/Camptotheca_acuminata_T2T.protein.clean.no_stop.fasta	/public/home/ryx13/genome_cad/busco/clean_protein_eudicots/short_summary.specific.eudicots_odb10.clean_protein_eudicots.txt
