species	database	identifier_or_file	assembly_or_genome_accession	version_or_release	download_date	source_url	recommended_citation	used_for	status
Catharanthus roseus	UniProt Proteomes	UP001060085	GCA_024505715.1	UniProt release used on 2026-02-15	2026-02-15	https://www.uniprot.org/proteomes/UP001060085	UniProt Consortium 2025; Sun et al. 2023	GETA homologous protein evidence	public protein FASTA used
Lactuca sativa	UniProt Proteomes	UP000235145	GCA_002870075.4	UniProt release used on 2026-02-15	2026-02-15	https://www.uniprot.org/proteomes/UP000235145	UniProt Consortium 2025; Reyes-Chin-Wo et al. 2017	GETA homologous protein evidence	public protein FASTA used
Vitis vinifera	UniProt Proteomes	UP001227230	GCA_030704535.1	UniProt release used on 2026-02-15	2026-02-15	https://www.uniprot.org/proteomes/UP001227230	UniProt Consortium 2025; Shi et al. 2023	GETA homologous protein evidence	public protein FASTA used
Arabidopsis thaliana	UniProt Proteomes	UP000006548	GCA_000001735.2	UniProt release used on 2026-02-15	2026-02-15	https://www.uniprot.org/proteomes/UP000006548	UniProt Consortium 2025; Cheng et al. 2017	GETA homologous protein evidence	public protein FASTA used
Coffea canephora	Ensembl Plants	Coffea_canephora.AUK_PRJEB4211_v1.pep.all.fa.gz	AUK_PRJEB4211_v1 / GCA_900059795.1	Ensembl Plants release 62; database version 115.1	2026-02-15	https://plants.ensembl.org/Coffea_canephora/Info/Index	Yates et al. 2022; Denoeud et al. 2014	GETA homologous protein evidence	public peptide FASTA used
Davidia involucrata	Genome Warehouse	GWHABJS00000000 protein FASTA	GWHABJS00000000	GWH page accessed on 2026-02-15	2026-02-15	https://ngdc.cncb.ac.cn/gwh/Assembly/910/show	Chen et al. 2021; GWH accession page	GETA homologous protein evidence	public protein FASTA used
